iter	RMSE
0	25.83306164
1	25.59598722
2	25.41006261
3	25.22753585
4	25.04964111
5	24.86681492
6	24.66084192
7	24.49067802
8	24.29723855
9	24.15173726
10	23.9715046
11	23.84219955
12	23.71145802
13	23.52410936
14	23.38523209
15	23.25923747
16	23.12567753
17	23.04179115
18	22.95713393
19	22.86021841
20	22.73046943
21	22.64791799
22	22.56487086
23	22.49547829
24	22.42274842
25	22.2879315
26	22.22534926
27	22.13750446
28	22.04942092
29	21.97832187
30	21.86240491
31	21.73383331
32	21.64385799
33	21.59192832
34	21.53482385
35	21.43179119
36	21.36336195
37	21.28236281
38	21.24022935
39	21.17575378
40	21.11425012
41	21.06457275
42	21.00181453
43	20.94957807
44	20.89085935
45	20.8305211
46	20.78449403
47	20.71579071
48	20.68851179
49	20.64048453
50	20.56393203
51	20.51174987
52	20.44982991
53	20.39693125
54	20.32517605
55	20.23607086
56	20.19858904
57	20.12828048
58	20.0676092
59	20.03203684
60	19.96430703
61	19.90252959
62	19.85893403
63	19.81583805
64	19.76203435
65	19.68450843
66	19.6372677
67	19.59009493
68	19.53777253
69	19.49569854
70	19.45433118
71	19.39756966
72	19.37808371
73	19.35164145
74	19.30449193
75	19.26232658
76	19.23995381
77	19.20278334
78	19.16142668
79	19.12956192
80	19.09428892
81	19.06263927
82	19.00040799
83	18.95436559
84	18.88883701
85	18.85630954
86	18.81223795
87	18.78560605
88	18.72072819
89	18.66169715
90	18.60999625
91	18.58920725
92	18.53698154
93	18.49780541
94	18.45759799
95	18.4383209
96	18.37418434
97	18.32505198
98	18.29394084
99	18.27297806
100	18.23222365
101	18.19788595
102	18.17218421
103	18.11670934
104	18.09957431
105	18.08387153
106	18.05453781
107	18.02043955
108	17.97165176
109	17.938776
110	17.91162592
111	17.88964985
112	17.84049521
113	17.79896565
114	17.76922325
115	17.73584315
116	17.70135453
117	17.6505994
118	17.62277025
119	17.55971662
120	17.49199745
121	17.44151916
122	17.42019551
123	17.38101739
124	17.34920906
125	17.31394367
126	17.28086544
127	17.24339772
128	17.21994761
129	17.18141547
130	17.1341994
131	17.11879231
132	17.08483928
133	17.05566418
134	17.01680561
135	16.97665769
136	16.91737646
137	16.892554
138	16.83424297
139	16.76667048
140	16.73977385
141	16.71177912
142	16.69092046
143	16.68014417
144	16.63322152
145	16.56298755
146	16.52794215
147	16.50581338
148	16.46974687
149	16.44041457
150	16.42563942
